#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.web.reporting.common.ja","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETStandard,Version=v2.0"
"devexpress.web.ru","18.1.6","DevExpress.Web.ASPxHtmlEditor.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ru","18.1.6","DevExpress.Web.ASPxSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ru","18.1.6","DevExpress.Web.ASPxTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ru","18.1.6","DevExpress.Web.Resources.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ru","18.1.6","DevExpress.Web.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.de","18.1.6","DevExpress.Web.ASPxScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.de","18.1.6","DevExpress.Web.ASPxRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.de","18.1.6","DevExpress.Web.ASPxSpreadsheet.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.ja","18.1.6","DevExpress.Web.ASPxScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","18.1.6","DevExpress.Web.ASPxRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","18.1.6","DevExpress.Web.ASPxSpreadsheet.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common","18.1.6","DevExpress.XtraReports.v18.1.Web",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common","18.1.6","DevExpress.XtraReports.v18.1.Web",".NETStandard,Version=v2.0"
"devexpress.web.reporting.common.es","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.es","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETStandard,Version=v2.0"
"devexpress.web.reporting.common.ru","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.ru","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETStandard,Version=v2.0"
"devexpress.web.reporting","18.1.6","DevExpress.XtraReports.v18.1.Web.WebForms",".NETFramework,Version=v4.0"
"devexpress.web.scheduler","18.1.6","DevExpress.Web.ASPxScheduler.v18.1",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.es","18.1.6","DevExpress.Web.ASPxScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.ru","18.1.6","DevExpress.Web.ASPxScheduler.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.visualization","18.1.6","DevExpress.Web.ASPxGauges.v18.1",".NETFramework,Version=v4.0"
"devexpress.web.visualization","18.1.6","DevExpress.XtraCharts.v18.1.Web",".NETFramework,Version=v4.0"
"devexpress.web.themes","18.1.6","DevExpress.Web.ASPxThemes.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.charts.es","18.1.6","DevExpress.XtraCharts.v18.1.Wizard.resources",".NETFramework,Version=v4.0"
"devexpress.win.charts","18.1.6","DevExpress.XtraCharts.v18.1.Extensions",".NETFramework,Version=v4.0"
"devexpress.win.charts","18.1.6","DevExpress.XtraCharts.v18.1.UI",".NETFramework,Version=v4.0"
"devexpress.win.charts","18.1.6","DevExpress.XtraCharts.v18.1.Wizard",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraBars.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraEditors.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraGrid.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraLayout.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraNavBar.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraPivotGrid.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraPrinting.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraTreeList.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraVerticalGrid.v18.1",".NETFramework,Version=v4.0"
"devexpress.win","18.1.6","DevExpress.XtraWizard.v18.1",".NETFramework,Version=v4.0"
"devexpress.win.charts.ru","18.1.6","DevExpress.XtraCharts.v18.1.Wizard.resources",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.de","18.1.6","DevExpress.Dashboard.v18.1.Win.resources",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.ja","18.1.6","DevExpress.Dashboard.v18.1.Win.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraBars.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraEditors.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraLayout.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraNavBar.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraPivotGrid.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.win.de","18.1.6","DevExpress.XtraPrinting.v18.1.resources",".NETFramework,Version=v4.0"
