"Package","Version","Assembly","DotNetFramework"
"DevExpress.Document.Processor","18.2.8.0","DevExpress.Docs.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.de","18.2.8.0","DevExpress.ExpressApp.AuditTrail.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp","18.2.8.0","DevExpress.ExpressApp.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.ja","18.2.8.0","DevExpress.ExpressApp.AuditTrail.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail","18.2.8.0","DevExpress.ExpressApp.AuditTrail.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.es","18.2.8.0","DevExpress.ExpressApp.AuditTrail.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.ru","18.2.8.0","DevExpress.ExpressApp.AuditTrail.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart","18.2.8.0","DevExpress.ExpressApp.Chart.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart.de","18.2.8.0","DevExpress.ExpressApp.Chart.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart.ja","18.2.8.0","DevExpress.ExpressApp.Chart.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart.ru","18.2.8.0","DevExpress.ExpressApp.Chart.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart.Web","18.2.8.0","DevExpress.ExpressApp.Chart.Web.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart.Win","18.2.8.0","DevExpress.ExpressApp.Chart.Win.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject.de","18.2.8.0","DevExpress.ExpressApp.CloneObject.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject.ja","18.2.8.0","DevExpress.ExpressApp.CloneObject.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject","18.2.8.0","DevExpress.ExpressApp.CloneObject.v18.2.dll",".NETFramework,Version=v4.5.2"
