#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","Framework"
"DevExpress.Sparkline.Core.ru","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","ru"
"DevExpress.Spreadsheet.Core.de","18.2.6","DevExpress.Spreadsheet.v18.2.Core.resources.dll","de"
"DevExpress.Spreadsheet.Core","18.2.6","DevExpress.Spreadsheet.v18.2.Core.dll","netstandard2.0"
"DevExpress.Spreadsheet.Core","18.2.6","DevExpress.Spreadsheet.v18.2.Core.dll","net452"
"DevExpress.Sparkline.Core.es","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","es"
"DevExpress.Sparkline.Core.de","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","de"
"DevExpress.Sparkline.Core.de","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","de"
"DevExpress.Sparkline.Core.ja","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","ja"
"DevExpress.Sparkline.Core.ja","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","ja"
"DevExpress.Sparkline.Core.es","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","es"
"DevExpress.Web.Office.es","18.2.6","DevExpress.Web.ASPxSpreadsheet.v18.2.resources.dll","es"
"DevExpress.Web.Office.es","18.2.6","DevExpress.Web.ASPxRichEdit.v18.2.resources.dll","es"
"DevExpress.Web.Office.de","18.2.6","DevExpress.Web.ASPxSpreadsheet.v18.2.resources.dll","de"
"DevExpress.Web.Office.ru","18.2.6","DevExpress.Web.ASPxRichEdit.v18.2.resources.dll","ru"
"DevExpress.Web.Office.ja","18.2.6","DevExpress.Web.ASPxSpreadsheet.v18.2.resources.dll","ja"
"DevExpress.Web.Office.ja","18.2.6","DevExpress.Web.ASPxRichEdit.v18.2.resources.dll","ja"
"DevExpress.Web.Mvc5.Dashboard","18.2.6","DevExpress.Dashboard.v18.2.Web.Mvc5.dll","net452"
"DevExpress.Web.Mvc5","18.2.6","DevExpress.Web.Mvc5.v18.2.dll","net452"
"DevExpress.Web.Mvc.Dashboard","18.2.6","DevExpress.Dashboard.v18.2.Web.Mvc.dll","net452"
"DevExpress.Web.Office.de","18.2.6","DevExpress.Web.ASPxRichEdit.v18.2.resources.dll","de"
"DevExpress.Web.Office","18.2.6","DevExpress.Web.ASPxSpreadsheet.v18.2.dll","net452"
"DevExpress.Web.Office","18.2.6","DevExpress.Web.ASPxRichEdit.v18.2.dll","net452"
"DevExpress.Web.Office.ru","18.2.6","DevExpress.Web.ASPxSpreadsheet.v18.2.resources.dll","ru"
"DevExpress.Web.Reporting.Common.ja","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","ja"
"DevExpress.Web.Reporting.Common.es","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","es"
"DevExpress.Web.Reporting.Common.es","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","es"
"DevExpress.Web.Reporting.Common.ru","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","ru"
"DevExpress.Web.Reporting.Common.ru","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","ru"
"DevExpress.Web.Reporting.Common.ja","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","ja"
"DevExpress.Web.Reporting.Common","18.2.6","DevExpress.XtraReports.v18.2.Web.dll","net452"
"DevExpress.Web.Reporting.Azure","18.2.6","DevExpress.XtraReports.v18.2.Web.Azure.dll","net452"
"DevExpress.Web.Reporting","18.2.6","DevExpress.XtraReports.v18.2.Web.WebForms.dll","net452"
"DevExpress.Web.Reporting.Common.de","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","de"
"DevExpress.Web.Reporting.Common.de","18.2.6","DevExpress.XtraReports.v18.2.Web.resources.dll","de"
"DevExpress.Web.Reporting.Common","18.2.6","DevExpress.XtraReports.v18.2.Web.dll","netstandard2.0"
"DevExpress.Web.Dashboard.Common.ru","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","ru"
"DevExpress.Web.Dashboard.Common.ru","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","ru"
"DevExpress.Web.Dashboard.Common.ja","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","ja"
"DevExpress.Web.de","18.2.6","DevExpress.Web.ASPxTreeList.v18.2.resources.dll","de"
"DevExpress.Web.de","18.2.6","DevExpress.Web.ASPxSpellChecker.v18.2.resources.dll","de"
"DevExpress.Web.de","18.2.6","DevExpress.Web.ASPxHtmlEditor.v18.2.resources.dll","de"
"DevExpress.Web.Dashboard.Common.de","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","de"
"DevExpress.Web.Dashboard.Common.de","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","de"
"DevExpress.Web.Dashboard.Common","18.2.6","DevExpress.Dashboard.v18.2.Web.dll","netstandard2.0"
"DevExpress.Web.Dashboard.Common.ja","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","ja"
"DevExpress.Web.Dashboard.Common.es","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","es"
"DevExpress.Web.Dashboard.Common.es","18.2.6","DevExpress.Dashboard.v18.2.Web.resources.dll","es"
"DevExpress.Web.de","18.2.6","DevExpress.Web.Resources.v18.2.resources.dll","de"
"DevExpress.Web.ja","18.2.6","DevExpress.Web.ASPxTreeList.v18.2.resources.dll","ja"
"DevExpress.Web.ja","18.2.6","DevExpress.Web.ASPxSpellChecker.v18.2.resources.dll","ja"
"DevExpress.Web.ja","18.2.6","DevExpress.Web.ASPxHtmlEditor.v18.2.resources.dll","ja"
"DevExpress.Web.Mvc","18.2.6","DevExpress.Web.Mvc.v18.2.dll","net452"
"DevExpress.Web.ja","18.2.6","DevExpress.Web.v18.2.resources.dll","ja"
"DevExpress.Web.ja","18.2.6","DevExpress.Web.Resources.v18.2.resources.dll","ja"
"DevExpress.Web.es","18.2.6","DevExpress.Web.ASPxSpellChecker.v18.2.resources.dll","es"
"DevExpress.Web.es","18.2.6","DevExpress.Web.ASPxHtmlEditor.v18.2.resources.dll","es"
"DevExpress.Web.de","18.2.6","DevExpress.Web.v18.2.resources.dll","de"
"DevExpress.Web.es","18.2.6","DevExpress.Web.v18.2.resources.dll","es"
"DevExpress.Web.es","18.2.6","DevExpress.Web.Resources.v18.2.resources.dll","es"
"DevExpress.Web.es","18.2.6","DevExpress.Web.ASPxTreeList.v18.2.resources.dll","es"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraBars.v18.2.resources.dll","ru"
"DevExpress.Wpf.Reporting.de","18.2.6","DevExpress.Xpf.ReportDesigner.v18.2.resources.dll","de"
"DevExpress.Wpf.Reporting","18.2.6","DevExpress.Xpf.ReportDesigner.v18.2.dll","net452"
"DevExpress.Wpf.Reporting","18.2.6","DevExpress.Xpf.DataAccess.v18.2.dll","net452"
"DevExpress.Wpf.Reporting.ru","18.2.6","DevExpress.Xpf.ReportDesigner.v18.2.resources.dll","ru"
"DevExpress.Wpf.Reporting.ja","18.2.6","DevExpress.Xpf.ReportDesigner.v18.2.resources.dll","ja"
"DevExpress.Wpf.Reporting.es","18.2.6","DevExpress.Xpf.ReportDesigner.v18.2.resources.dll","es"
"DevExpress.Wpf.PropertyGrid.es","18.2.6","DevExpress.Xpf.PropertyGrid.v18.2.resources.dll","es"
"DevExpress.Wpf.PropertyGrid.de","18.2.6","DevExpress.Xpf.PropertyGrid.v18.2.resources.dll","de"
"DevExpress.Wpf.PropertyGrid","18.2.6","DevExpress.Xpf.PropertyGrid.v18.2.dll","net452"
"DevExpress.Wpf.Reporting","18.2.6","DevExpress.Xpf.CodeView.v18.2.dll","net452"
"DevExpress.Wpf.PropertyGrid.ru","18.2.6","DevExpress.Xpf.PropertyGrid.v18.2.resources.dll","ru"
"DevExpress.Wpf.PropertyGrid.ja","18.2.6","DevExpress.Xpf.PropertyGrid.v18.2.resources.dll","ja"
"DevExpress.Wpf.RichEdit","18.2.6","DevExpress.Xpf.RichEdit.v18.2.dll","net452"
"DevExpress.Wpf.Scheduler.ru","18.2.6","DevExpress.Xpf.Scheduler.v18.2.resources.dll","ru"
"DevExpress.Wpf.Scheduler.ja","18.2.6","DevExpress.Xpf.Scheduler.v18.2.resources.dll","ja"
"DevExpress.Wpf.Scheduler.es","18.2.6","DevExpress.Xpf.Scheduler.v18.2.resources.dll","es"
"DevExpress.Wpf.Scheduling.es","18.2.6","DevExpress.Xpf.Scheduling.v18.2.resources.dll","es"
"DevExpress.Wpf.Scheduling.de","18.2.6","DevExpress.Xpf.Scheduling.v18.2.resources.dll","de"
"DevExpress.Wpf.Scheduling","18.2.6","DevExpress.Xpf.Scheduling.v18.2.dll","net452"
"DevExpress.Wpf.RichEdit.ja","18.2.6","DevExpress.Xpf.RichEdit.v18.2.resources.dll","ja"
"DevExpress.Wpf.RichEdit.es","18.2.6","DevExpress.Xpf.RichEdit.v18.2.resources.dll","es"
"DevExpress.Wpf.RichEdit.de","18.2.6","DevExpress.Xpf.RichEdit.v18.2.resources.dll","de"
"DevExpress.Wpf.Scheduler.de","18.2.6","DevExpress.Xpf.Scheduler.v18.2.resources.dll","de"
"DevExpress.Wpf.Scheduler","18.2.6","DevExpress.Xpf.Scheduler.v18.2.dll","net452"
"DevExpress.Wpf.RichEdit.ru","18.2.6","DevExpress.Xpf.RichEdit.v18.2.resources.dll","ru"
"DevExpress.Wpf.Navigation.ja","18.2.6","DevExpress.Xpf.Ribbon.v18.2.resources.dll","ja"
"DevExpress.Wpf.Navigation.ja","18.2.6","DevExpress.Xpf.NavBar.v18.2.resources.dll","ja"
"DevExpress.Wpf.Navigation.ja","18.2.6","DevExpress.Xpf.Docking.v18.2.resources.dll","ja"
"DevExpress.Wpf.Navigation.ru","18.2.6","DevExpress.Xpf.NavBar.v18.2.resources.dll","ru"
"DevExpress.Wpf.Navigation.ru","18.2.6","DevExpress.Xpf.Docking.v18.2.resources.dll","ru"
"DevExpress.Wpf.Navigation.ru","18.2.6","DevExpress.Xpf.Controls.v18.2.resources.dll","ru"
"DevExpress.Wpf.Navigation.es","18.2.6","DevExpress.Xpf.Docking.v18.2.resources.dll","es"
"DevExpress.Wpf.Navigation.es","18.2.6","DevExpress.Xpf.Controls.v18.2.resources.dll","es"
"DevExpress.Wpf.Navigation.de","18.2.6","DevExpress.Xpf.Ribbon.v18.2.resources.dll","de"
"DevExpress.Wpf.Navigation.ja","18.2.6","DevExpress.Xpf.Controls.v18.2.resources.dll","ja"
"DevExpress.Wpf.Navigation.es","18.2.6","DevExpress.Xpf.Ribbon.v18.2.resources.dll","es"
"DevExpress.Wpf.Navigation.es","18.2.6","DevExpress.Xpf.NavBar.v18.2.resources.dll","es"
"DevExpress.Wpf.Navigation.ru","18.2.6","DevExpress.Xpf.Ribbon.v18.2.resources.dll","ru"
"DevExpress.Wpf.Printing.es","18.2.6","DevExpress.Xpf.Printing.v18.2.resources.dll","es"
"DevExpress.Wpf.Printing.de","18.2.6","DevExpress.Xpf.Printing.v18.2.resources.dll","de"
"DevExpress.Wpf.Printing","18.2.6","DevExpress.Xpf.Printing.v18.2.dll","net452"
"DevExpress.Wpf.PrismAdapters","18.2.6","DevExpress.Xpf.PrismAdapters.v18.2.dll","net452"
"DevExpress.Wpf.Printing.ru","18.2.6","DevExpress.Xpf.Printing.v18.2.resources.dll","ru"
"DevExpress.Wpf.Printing.ja","18.2.6","DevExpress.Xpf.Printing.v18.2.resources.dll","ja"
"DevExpress.Wpf.PdfViewer.es","18.2.6","DevExpress.Xpf.PdfViewer.v18.2.resources.dll","es"
"DevExpress.Wpf.PdfViewer.de","18.2.6","DevExpress.Xpf.PdfViewer.v18.2.resources.dll","de"
"DevExpress.Wpf.PdfViewer","18.2.6","DevExpress.Xpf.PdfViewer.v18.2.dll","net452"
"DevExpress.Wpf.PivotGrid","18.2.6","DevExpress.Xpf.PivotGrid.v18.2.dll","net452"
"DevExpress.Wpf.PdfViewer.ru","18.2.6","DevExpress.Xpf.PdfViewer.v18.2.resources.dll","ru"
"DevExpress.Wpf.PdfViewer.ja","18.2.6","DevExpress.Xpf.PdfViewer.v18.2.resources.dll","ja"
"DevExpress.Wpf.Themes.TouchlineDark","18.2.6","DevExpress.Xpf.Themes.TouchlineDark.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Seven","18.2.6","DevExpress.Xpf.Themes.Seven.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2016WhiteSE","18.2.6","DevExpress.Xpf.Themes.Office2016WhiteSE.v18.2.dll","net452"
"DevExpress.Wpf.Themes.VS2017Dark","18.2.6","DevExpress.Xpf.Themes.VS2017Dark.v18.2.dll","net452"
"DevExpress.Wpf.Themes.VS2017Blue","18.2.6","DevExpress.Xpf.Themes.VS2017Blue.v18.2.dll","net452"
"DevExpress.Wpf.Themes.VS2010","18.2.6","DevExpress.Xpf.Themes.VS2010.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2016Colorful","18.2.6","DevExpress.Xpf.Themes.Office2016Colorful.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2016BlackSE","18.2.6","DevExpress.Xpf.Themes.Office2016BlackSE.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2016Black","18.2.6","DevExpress.Xpf.Themes.Office2016Black.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2016White","18.2.6","DevExpress.Xpf.Themes.Office2016White.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2016DarkGraySE","18.2.6","DevExpress.Xpf.Themes.Office2016DarkGraySE.v18.2.dll","net452"
