#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly"
"DevExpress.ExpressApp.Dashboards","18.2.4","DevExpress.ExpressApp.Dashboards.v18.2"
"DevExpress.ExpressApp.Dashboards.de","18.2.4","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.es","18.2.4","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.ja","18.2.4","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.ru","18.2.4","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Web","18.2.4","DevExpress.ExpressApp.Dashboards.Web.v18.2"
"DevExpress.ExpressApp.Dashboards.Web.de","18.2.4","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Web.es","18.2.4","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Web.ja","18.2.4","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Web.ru","18.2.4","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Win","18.2.4","DevExpress.ExpressApp.Dashboards.Win.v18.2"
"DevExpress.ExpressApp.Dashboards.Win.de","18.2.4","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Win.es","18.2.4","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Win.ja","18.2.4","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Win.ru","18.2.4","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.DataService","18.2.4","DevExpress.ExpressApp.DataService.v18.2"
"DevExpress.ExpressApp.de","18.2.4","DevExpress.ExpressApp.v18.2.resources"
"DevExpress.ExpressApp.EF","18.2.4","DevExpress.ExpressApp.EF.v18.2"
"DevExpress.ExpressApp.EF","18.2.4","DevExpress.Persistent.BaseImpl.EF.v18.2"
"DevExpress.ExpressApp.es","18.2.4","DevExpress.ExpressApp.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Mobile","18.2.4","DevExpress.ExpressApp.FileAttachment.Mobile.v18.2"
"DevExpress.ExpressApp.FileAttachment.Web","18.2.4","DevExpress.ExpressApp.FileAttachment.Web.v18.2"
"DevExpress.ExpressApp.FileAttachment.Web.de","18.2.4","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Web.es","18.2.4","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Web.ja","18.2.4","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Web.ru","18.2.4","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win","18.2.4","DevExpress.ExpressApp.FileAttachment.Win.v18.2"
"DevExpress.ExpressApp.FileAttachment.Win.de","18.2.4","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win.es","18.2.4","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win.ja","18.2.4","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win.ru","18.2.4","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.HtmlPropertyEditor.Web","18.2.4","DevExpress.ExpressApp.HtmlPropertyEditor.Web.v18.2"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win","18.2.4","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.de","18.2.4","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.es","18.2.4","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.ja","18.2.4","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.ru","18.2.4","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources"
"DevExpress.ExpressApp.Images","18.2.4","DevExpress.ExpressApp.Images.v18.2"
"DevExpress.ExpressApp.ja","18.2.4","DevExpress.ExpressApp.v18.2.resources"
"DevExpress.ExpressApp.Kpi","18.2.4","DevExpress.ExpressApp.Kpi.v18.2"
"DevExpress.ExpressApp.Kpi.de","18.2.4","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Kpi.es","18.2.4","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Kpi.ja","18.2.4","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Kpi.ru","18.2.4","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Localization.Mobile","18.2.4","DevExpress.ExpressApp.Localization.Mobile.v18.2"
"DevExpress.ExpressApp.Maps.Mobile","18.2.4","DevExpress.ExpressApp.Maps.Mobile.v18.2"
"DevExpress.ExpressApp.Maps.Mobile.de","18.2.4","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Mobile.es","18.2.4","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Mobile.ru","18.2.4","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Web","18.2.4","DevExpress.ExpressApp.Maps.Web.v18.2"
"DevExpress.ExpressApp.Maps.Web.de","18.2.4","DevExpress.ExpressApp.Maps.Web.v18.2.resources"
"DevExpress.ExpressApp.Maps.Web.ru","18.2.4","DevExpress.ExpressApp.Maps.Web.v18.2.resources"
"DevExpress.ExpressApp.Mobile","18.2.4","DevExpress.ExpressApp.Mobile.v18.2"
"DevExpress.ExpressApp.Mobile.de","18.2.4","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Mobile.es","18.2.4","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Mobile.ja","18.2.4","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Mobile.ru","18.2.4","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Notifications","18.2.4","DevExpress.ExpressApp.Notifications.v18.2"
"DevExpress.ExpressApp.Notifications.de","18.2.4","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Notifications.es","18.2.4","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Notifications.ja","18.2.4","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Notifications.ru","18.2.4","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Web","18.2.4","DevExpress.ExpressApp.Notifications.Web.v18.2"
"DevExpress.ExpressApp.Notifications.Web.de","18.2.4","DevExpress.ExpressApp.Notifications.Web.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Web.es","18.2.4","DevExpress.ExpressApp.Notifications.Web.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Web.ja","18.2.4","DevExpress.ExpressApp.Notifications.Web.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Web.ru","18.2.4","DevExpress.ExpressApp.Notifications.Web.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Win","18.2.4","DevExpress.ExpressApp.Notifications.Win.v18.2"
"DevExpress.ExpressApp.Objects","18.2.4","DevExpress.ExpressApp.Objects.v18.2"
"DevExpress.ExpressApp.Objects.de","18.2.4","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.Objects.es","18.2.4","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.Objects.ja","18.2.4","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.Objects.ru","18.2.4","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.Office.Win","18.2.4","DevExpress.ExpressApp.Office.Win.v18.2"
"DevExpress.ExpressApp.Office.Win.de","18.2.4","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.es","18.2.4","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.ja","18.2.4","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.ru","18.2.4","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart","18.2.4","DevExpress.ExpressApp.PivotChart.v18.2"
"DevExpress.ExpressApp.PivotChart.de","18.2.4","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.es","18.2.4","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.ja","18.2.4","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.ru","18.2.4","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web","18.2.4","DevExpress.ExpressApp.PivotChart.Web.v18.2"
"DevExpress.ExpressApp.PivotChart.Web.de","18.2.4","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web.es","18.2.4","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web.ja","18.2.4","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web.ru","18.2.4","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
