"Package","Assembly","DotNetFramework"
"devexpress.win.reporting","DevExpress.XtraReports.v18.1.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.de","DevExpress.XtraScheduler.v18.1.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.ja","DevExpress.XtraScheduler.v18.1.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ru","DevExpress.XtraScheduler.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ru","DevExpress.XtraScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ru","DevExpress.XtraRichEdit.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ru","DevExpress.XtraRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ja","DevExpress.XtraScheduler.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ja","DevExpress.XtraScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraBars.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraEditors.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraLayout.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraNavBar.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraPivotGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraPrinting.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraVerticalGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraWizard.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap","DevExpress.Snap.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap","DevExpress.Snap.v18.1.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler","DevExpress.XtraScheduler.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler","DevExpress.XtraScheduler.v18.1.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.de","DevExpress.XtraScheduler.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.de","DevExpress.XtraScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.es","DevExpress.Snap.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.es","DevExpress.Snap.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.es","DevExpress.XtraScheduler.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.es","DevExpress.XtraScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ru","DevExpress.Snap.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ru","DevExpress.Snap.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.de","DevExpress.XtraSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting","DevExpress.XtraScheduler.v18.1.Reporting.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting","DevExpress.XtraScheduler.v18.1.Reporting.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.es","DevExpress.XtraScheduler.v18.1.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.ja","DevExpress.XtraSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.ru","DevExpress.XtraScheduler.v18.1.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.de","DevExpress.Snap.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.de","DevExpress.Snap.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet","DevExpress.XtraSpreadsheet.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ja","DevExpress.Snap.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ja","DevExpress.Snap.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.es","DevExpress.XtraSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.es","DevExpress.XtraSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker","DevExpress.XtraSpellChecker.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.ru","DevExpress.XtraSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.ru","DevExpress.XtraSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.carousel","DevExpress.Xpf.Carousel.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.de","DevExpress.XtraSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.ja","DevExpress.XtraSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.treemap","DevExpress.XtraTreeMap.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.de","DevExpress.Xpf.Charts.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer.de","DevExpress.Charts.Designer.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer.es","DevExpress.Charts.Designer.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.es","DevExpress.Xpf.Charts.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.ru","DevExpress.Xpf.Charts.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core.ja","DevExpress.Xpf.Core.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core.de","DevExpress.Xpf.Core.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer","DevExpress.Charts.Designer.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts","DevExpress.Xpf.Charts.v18.1.dll",".NETFramework,Version=v4.0"
